TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,DaysSinceFirst,DaysSincePrev,TransactionHour,TransactionDayOfWeek,TransactionMonth,AgeGroup_enc,BalanceGroup_enc,Target
59.12,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,35.0,637.0,16.0,0.0,2.0,2,0,2
396.45,Debit,New York,ATM,49.0,Engineer,168.00000000000003,1.0,9690.15,266.0,406.0,16.0,0.0,9.0,1,0,0
877.0039999999999,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,70.0,602.0,17.0,0.0,2.9999999999999996,2,1,0
255.26,Credit,San Francisco,Branch,45.0,Doctor,50.00000000000001,1.0,14815.87,298.0,374.0,16.0,4.0,10.0,0,0,1
124.76,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,287.0,385.0,16.0,0.0,10.0,1,2,1
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.61,323.0,349.0,16.0,1.0,11.0,2,1,0
649.28,Debit,San Jose,ATM,75.0,Retired,137.0,1.0,4875.86,59.0,613.0,17.0,3.0,2.9999999999999996,1,2,1
795.31,Debit,Mesa,ATM,66.0,Doctor,90.0,1.0,7914.879999999999,283.0,388.99999999999994,17.0,3.0,10.0,1,0,0
335.63,Debit,Oklahoma City,Online,55.0,Retired,215.99999999999997,1.0,1019.39,22.0,650.0,17.0,1.0,1.0,1,1,0
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,210.0,462.0,18.0,0.0,7.0,1,2,1
34.02,Debit,Philadelphia,Online,38.0,Doctor,18.999999999999996,1.0,14214.48,7.0,665.0,16.0,0.0,1.0,0,0,1
241.42000000000002,Credit,Charlotte,Online,57.0,Doctor,116.00000000000001,1.0,13357.02,107.99999999999999,564.0,18.0,3.0,4.0,1,0,2
55.32,Debit,Tucson,ATM,19.0,Student,117.0,1.0,241.79000000000002,100.0,572.0,16.0,2.0,4.0,2,1,1
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.61,204.99999999999997,467.0,16.0,2.0,7.0,2,1,0
435.27,Debit,Chicago,Branch,74.0,Retired,90.0,1.0,4673.28,275.0,397.0,17.0,2.0,10.0,1,2,2
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,345.0,327.0,16.0,2.0,11.999999999999998,2,1,2
510.23999999999995,Debit,Oklahoma City,Online,19.0,Student,105.0,1.0,781.7,280.0,392.00000000000006,16.0,0.0,10.0,2,1,0
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.51,329.0,343.0,16.0,0.0,11.0,2,1,2
22.01,Credit,Sacramento,Online,41.0,Engineer,175.0,1.0,1335.09,84.0,588.0,16.0,0.0,2.9999999999999996,0,1,1
425.34,Credit,Kansas City,Online,69.0,Retired,121.0,1.0,3907.5399999999995,42.0,630.0,16.0,0.0,2.0,1,2,0
424.56,Debit,Omaha,Online,51.0,Engineer,264.0,1.0,5183.85,50.0,486.0,17.0,1.0,2.0,1,2,1
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,156.0,516.0,16.0,2.0,5.999999999999999,1,0,1
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8799999999999,248.0,424.0,16.0,3.0,9.0,2,1,1
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,86.0,586.0,17.0,2.0,2.9999999999999996,1,2,1
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.03,214.0,458.00000000000006,17.0,4.0,8.0,2,1,0
60.540000000000006,Credit,Columbus,Branch,57.0,Retired,52.00000000000001,1.0,3534.93,346.0,326.0,17.0,3.0,11.999999999999998,1,2,2
292.56,Credit,Dallas,Branch,68.0,Retired,61.00000000000001,1.0,4638.37,60.00000000000001,612.0,17.0,4.0,2.9999999999999996,1,2,2
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,158.0,514.0,16.0,4.0,5.999999999999999,1,2,0
112.07,Debit,Kansas City,Branch,23.0,Student,51.00000000000001,1.0,930.3,273.0,399.0,16.0,0.0,10.0,2,1,0
568.52,Debit,Indianapolis,ATM,46.0,Engineer,151.99999999999997,1.0,5499.91,277.0,486.0,18.0,4.0,10.0,1,2,0
263.99,Debit,Dallas,Branch,79.0,Retired,227.0,1.0,4175.02,134.0,538.0,16.0,1.0,5.0,1,2,2
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,1.0,6651.62,309.0,363.0,16.0,1.0,11.0,1,2,0
601.4,Credit,Philadelphia,Branch,56.0,Engineer,104.0,1.0,8458.29,148.0,524.0,17.0,1.0,5.0,1,0,1
16.4325,Debit,Charlotte,Online,50.0,Doctor,123.99999999999999,1.0,13988.12,304.0,368.00000000000006,16.0,3.0,11.0,1,0,2
201.33,Credit,Nashville,Branch,42.0,Engineer,186.0,1.0,2585.07,86.0,586.0,17.0,2.0,2.9999999999999996,0,2,0
298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,1.0,3014.75,113.0,559.0,16.0,1.0,4.0,1,2,0
521.06,Debit,Albuquerque,Branch,25.0,Student,128.0,1.0,1951.42,106.0,566.0,18.0,1.0,4.0,2,1,2
117.28,Credit,Austin,Online,60.0,Engineer,16.0,1.0,3665.77,38.0,634.0,16.0,3.0,2.0,1,2,2
189.12,Credit,Indianapolis,nan,32.0,Engineer,103.0,1.0,977.01,315.0,357.0,16.0,0.0,11.0,2,1,0
133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,1.0,3846.2800000000007,197.0,475.0,16.0,1.0,7.0,0,2,2
143.21,Debit,Dallas,Online,35.0,Engineer,135.0,1.0,6374.82,11.0,661.0,17.0,4.0,1.0,0,2,2
24.77,Debit,Boston,ATM,62.0,Retired,55.0,1.0,5866.01,182.99999999999997,489.0,18.0,1.0,7.0,1,2,2
233.92,Credit,Jacksonville,Online,26.0,Student,280.0,1.0,6537.62,291.0,381.0,16.0,4.0,10.0,2,2,0
877.0039999999999,Debit,Indianapolis,Branch,20.0,Student,24.0,1.0,605.9499999999999,275.0,397.0,16.0,2.0,10.0,2,1,0
232.12,Debit,nan,ATM,37.0,Engineer,51.00000000000001,1.0,6689.87,360.0,312.0,17.0,3.0,11.999999999999998,0,2,1
211.36,Debit,Kansas City,Online,22.0,Student,113.0,1.0,634.17,161.0,511.0,17.0,0.0,5.999999999999999,2,1,0
91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.00000000000001,1.0,14676.05,70.0,602.0,16.0,0.0,2.9999999999999996,0,0,0
120.29,Debit,Miami,Branch,19.0,Student,77.0,1.0,1362.39,350.0,322.0,18.0,0.0,11.999999999999998,2,1,0
174.25,Debit,Seattle,Online,50.0,Doctor,67.0,1.0,10528.34,196.00000000000003,475.99999999999994,18.0,0.0,7.0,1,0,1
183.71,Debit,Denver,ATM,38.0,Engineer,102.0,1.0,552.52,168.0,504.00000000000006,18.0,0.0,5.999999999999999,0,1,2
345.39,Credit,Phoenix,nan,58.0,Engineer,80.0,1.0,6451.96,186.0,486.0,16.0,0.0,8.0,1,2,1
877.0039999999999,Debit,Detroit,ATM,63.0,Retired,87.0,1.0,4715.84,21.0,651.0,16.0,0.0,1.0,1,2,2
259.91,Debit,Denver,Online,49.0,Doctor,170.0,1.0,7176.86,308.0,364.0,16.0,0.0,11.0,1,0,2
154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1.0,1523.72,182.0,490.0,16.0,0.0,7.0,0,1,1
877.0039999999999,Credit,Austin,Online,54.0,Engineer,30.0,1.0,8654.28,270.0,402.0,17.0,4.0,9.0,1,0,2
24.56,Debit,Mesa,Branch,64.0,Doctor,69.00000000000001,1.0,9869.93,291.0,381.0,17.0,4.0,10.0,1,0,0
568.07,nan,Washington,ATM,48.0,Doctor,115.0,1.0,10556.81,237.99999999999997,433.99999999999994,17.0,0.0,8.0,1,0,1
16.4325,Credit,San Diego,Online,58.0,Doctor,179.0,1.0,12883.91,171.0,501.00000000000006,18.0,3.0,5.999999999999999,1,0,1
392.96,Debit,Kansas City,Online,24.0,Student,100.00000000000001,1.0,791.65,322.0,350.0,16.0,0.0,11.0,2,1,0
716.93,Credit,Milwaukee,Online,60.0,Retired,34.0,1.0,4064.02,255.0,417.0,16.0,3.0,9.0,1,2,0
223.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,1.0,2929.91,273.0,399.0,16.0,0.0,10.0,1,2,0
230.66,Debit,Houston,Branch,21.0,Student,135.0,1.0,618.05,84.0,588.0,18.0,0.0,2.9999999999999996,2,1,0
442.12,Debit,Los Angeles,Online,19.0,Student,260.0,1.0,1375.8,353.0,319.0,16.0,3.0,11.999999999999998,2,1,0
644.17,Debit,San Antonio,ATM,29.0,Engineer,72.0,1.0,1143.52,59.0,613.0,16.0,3.0,2.9999999999999996,2,1,1
508.67999999999995,Credit,Mesa,Branch,51.0,Engineer,127.0,1.0,7708.41,175.0,497.0,16.0,0.0,5.999999999999999,1,0,0
858.63,Credit,San Francisco,Branch,27.0,Student,185.0,1.0,1872.96,106.0,566.0,17.0,1.0,4.0,2,1,1
25.36,Debit,Louisville,ATM,57.0,Engineer,78.0,1.0,201.04,196.00000000000003,475.99999999999994,17.0,0.0,7.0,1,1,0
147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,1.0,2115.8,242.0,430.0,17.0,4.0,9.0,1,2,2
115.02,Debit,San Antonio,Branch,37.0,Doctor,175.0,1.0,7643.66,252.00000000000003,420.0,16.0,0.0,9.0,0,0,1
383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.0,1.0,8901.93,22.0,650.0,17.0,1.0,1.0,2,0,2
98.54,Credit,El Paso,Online,20.0,Student,167.0,1.0,9383.43,221.0,451.0,16.0,4.0,8.0,2,0,2
83.24,nan,Fort Worth,Branch,55.0,Doctor,164.0,1.0,1181.31,287.0,385.0,18.0,0.0,10.0,1,1,2
196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,1.0,9418.86,53.0,619.0,16.0,4.0,2.0,2,0,1
129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,1.0,7954.919999999999,0.0,672.0,16.0,0.0,1.0,2,0,0
306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.00000000000001,1.0,9418.08,332.0,340.0,16.0,3.0,11.0,1,0,2
114.98,Debit,Seattle,Online,59.0,Retired,80.0,1.0,6144.68,303.0,369.00000000000006,16.0,2.0,11.0,1,2,1
756.59,Debit,Sacramento,Branch,27.0,Student,17.0,1.0,420.65,63.00000000000001,609.0,16.0,0.0,2.9999999999999996,2,1,1
503.76000000000005,Debit,Los Angeles,Online,22.0,Student,35.0,1.0,447.82,329.0,343.0,18.0,0.0,11.0,2,1,0
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.450000000001,210.0,462.0,16.0,0.0,7.0,1,0,1
877.0039999999999,Debit,Columbus,ATM,53.0,Retired,73.0,1.0,1829.9,324.0,348.0,16.0,2.0,11.0,1,1,2
245.54,nan,New York,ATM,25.0,Student,180.0,1.0,985.0600000000001,78.0,594.0,16.0,1.0,2.9999999999999996,2,1,0
254.37000000000003,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,107.99999999999999,564.0,18.0,3.0,4.0,1,0,2
213.76,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,58.0,614.0,17.0,2.0,2.9999999999999996,1,2,2
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.16,39.0,633.0,16.0,4.0,2.0,0,1,2
16.4325,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,200.0,472.0,16.0,4.0,7.0,1,0,1
300.08,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,280.0,392.00000000000006,17.0,0.0,10.0,1,0,2
56.98,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,1.0,5688.37,364.0,308.0,16.0,0.0,1.0,0,2,0
407.65,Debit,Boston,Online,26.0,Engineer,61.99999999999999,1.0,8346.64,186.0,486.0,16.0,4.0,7.0,2,0,2
115.83,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,140.0,532.0,17.0,0.0,5.0,0,2,2
53.57,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,226.0,446.0,16.0,2.0,8.0,1,1,0
63.34,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,319.0,353.0,16.0,4.0,11.0,1,0,2
317.87,Debit,Detroit,Online,27.0,Student,91.0,1.0,145.5,186.0,486.0,16.0,0.0,8.0,2,1,2
331.65,Debit,Portland,Online,41.0,Engineer,61.00000000000001,1.0,4172.57,235.0,437.00000000000006,17.0,4.0,8.0,0,2,1
16.4325,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,329.0,343.0,16.0,0.0,11.0,1,2,1
214.54,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,214.0,458.00000000000006,17.0,4.0,8.0,1,0,2
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,245.0,427.0,16.0,0.0,9.0,1,1,1
841.28,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.64,219.0,453.0,17.0,2.0,8.0,2,1,1
38.15,Debit,Mesa,Online,26.0,Student,107.99999999999999,1.0,303.68,248.0,424.0,16.0,3.0,9.0,2,1,0
877.0039999999999,Debit,San Antonio,Branch,58.0,Doctor,144.0,1.0,5541.57,190.0,482.0,16.0,1.0,7.0,1,2,1
124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,182.0,490.0,17.0,0.0,7.0,2,2,0
302.45,Credit,San Antonio,Branch,78.0,Retired,40.0,1.0,5133.61,266.0,406.0,17.0,0.0,9.0,1,2,1
208.04,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,322.0,350.0,17.0,0.0,11.0,1,0,0
16.4325,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.97,319.0,353.0,17.0,4.0,11.0,2,1,0
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,231.0,441.0,16.0,0.0,8.0,1,0,2
16.4325,Debit,Milwaukee,ATM,50.0,Doctor,123.99999999999999,1.0,14401.17,287.0,385.0,16.0,0.0,10.0,1,0,0
486.0799999999999,Debit,Oklahoma City,Online,18.0,Student,68.00000000000001,1.0,1748.69,169.0,503.00000000000006,17.0,1.0,5.999999999999999,2,1,0
336.39,Debit,San Antonio,Branch,21.0,Student,18.0,1.0,1000.46,14.0,658.0,16.0,0.0,1.0,2,1,1
877.0039999999999,Debit,Seattle,Online,69.0,Doctor,118.0,1.0,6810.05,324.0,348.0,16.0,2.0,11.0,1,0,1
234.57,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.98,242.0,430.0,16.0,4.0,9.0,2,1,2
16.4325,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,294.0,378.0,18.0,0.0,10.0,2,2,2
877.0039999999999,Debit,Detroit,ATM,80.0,Retired,21.000000000000004,1.0,2037.85,294.0,378.0,16.0,0.0,10.0,1,1,2
227.14,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.94,182.0,490.0,17.0,0.0,7.0,2,1,2
233.74,Credit,Oklahoma City,Online,66.0,Retired,17.0,1.0,1066.59,295.0,377.0,16.0,1.0,10.0,1,1,0
211.36,Credit,Jacksonville,Branch,69.0,Retired,166.0,1.0,6077.96,266.0,406.0,16.0,0.0,9.0,1,2,0
45.85,Debit,Los Angeles,ATM,20.0,Student,91.99999999999999,1.0,1659.15,45.0,627.0,17.0,3.0,2.0,2,1,0
877.0039999999999,Debit,Sacramento,Branch,77.0,Retired,296.0,1.0,2042.22,240.00000000000003,431.99999999999994,17.0,2.0,8.0,1,1,1
211.36,Debit,New York,Online,41.0,Doctor,142.0,1.0,421.93,101.0,571.0,18.0,3.0,4.0,0,1,0
415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,207.00000000000003,465.0,16.0,4.0,7.0,1,0,0
265.76,Debit,Philadelphia,Online,54.0,Retired,91.99999999999999,1.0,4446.17,35.0,637.0,17.0,0.0,2.0,1,2,1
69.4,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,203.0,469.0,18.0,0.0,7.0,1,2,1
332.93,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,322.0,350.0,16.0,0.0,11.0,0,2,2
267.9,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,280.0,392.00000000000006,16.0,0.0,10.0,2,1,1
496.0299999999999,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,305.0,366.99999999999994,16.0,4.0,11.0,1,0,1
376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,44.0,628.0,16.0,2.0,2.0,0,0,1
83.02,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,245.0,427.0,17.0,0.0,9.0,0,0,1
93.26,Credit,New York,Online,20.0,Student,72.0,1.0,1152.2,206.00000000000003,466.0,16.0,3.0,7.0,2,1,0
803.37,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,105.0,567.0,16.0,0.0,4.0,1,0,0
35.76,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999999,260.0,412.00000000000006,17.0,1.0,9.0,2,1,2
28.53,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,149.0,523.0,16.0,2.0,5.0,1,0,1
139.53,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,280.0,392.00000000000006,17.0,0.0,10.0,1,0,0
307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,7.0,665.0,16.0,0.0,1.0,2,2,2
60.650000000000006,Credit,Tucson,Branch,56.0,Retired,53.00000000000001,1.0,1047.28,144.0,528.0,18.0,4.0,5.0,1,1,1
74.86,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,224.0,448.0,17.0,0.0,8.0,1,0,0
211.36,Debit,Kansas City,Branch,51.0,Retired,137.0,1.0,1475.46,326.0,346.0,18.0,4.0,11.0,1,1,0
231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76,29.0,643.0,18.0,1.0,1.0,0,1,0
126.20999999999998,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,43.0,629.0,16.0,1.0,2.0,1,2,2
506.28,Credit,Chicago,Online,53.0,Retired,162.0,1.0,1309.95,120.00000000000001,552.0,17.0,1.0,5.0,1,1,2
304.35,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,336.0,336.0,17.0,0.0,11.999999999999998,2,2,0
281.85,Debit,Detroit,ATM,22.0,Student,109.0,1.0,1585.98,134.0,538.0,17.0,1.0,5.0,2,1,2
777.88,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,77.0,595.0,16.0,0.0,2.9999999999999996,2,0,0
119.18,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,235.0,437.00000000000006,18.0,4.0,8.0,1,2,0
177.19,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,133.0,539.0,17.0,0.0,5.0,1,2,2
260.88,Debit,Denver,Branch,22.0,Student,36.0,1.0,903.05,147.0,525.0,16.0,0.0,5.0,2,1,2
169.47,Debit,Chicago,Online,24.0,Student,18.999999999999996,1.0,1806.16,79.0,593.0,16.0,2.0,2.9999999999999996,2,1,2
73.23,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.7399999999999,137.0,535.0,16.0,4.0,5.0,2,1,1
877.0039999999999,Debit,El Paso,ATM,29.0,Engineer,106.0,1.0,2429.68,39.0,633.0,18.0,4.0,2.0,2,2,2
792.57,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.37,140.0,532.0,16.0,0.0,5.0,2,1,2
237.06,Debit,Phoenix,Online,71.0,Retired,45.99999999999999,1.0,1182.77,350.0,322.0,16.0,0.0,11.999999999999998,1,1,1
34.17,Credit,Philadelphia,Online,54.0,Engineer,53.99999999999999,1.0,726.55,323.0,349.0,16.0,1.0,11.0,1,1,1
740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,198.0,474.0,17.0,2.0,7.0,0,0,1
453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,107.0,565.0,16.0,2.0,4.0,1,0,2
300.47,Debit,Jacksonville,Branch,73.0,Retired,100.00000000000001,1.0,7885.64,315.0,357.0,16.0,0.0,11.0,1,0,0
110.93,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.3499999999997,95.0,577.0,16.0,4.0,4.0,2,1,1
201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,1.0,671.0,16.0,1.0,1.0,1,0,0
399.21,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,28.0,644.0,16.0,0.0,1.0,1,2,1
877.0039999999999,Debit,Jacksonville,Online,78.0,Retired,57.0,1.0,5726.2,247.0,425.0,16.0,2.0,9.0,1,2,0
630.36,Debit,Mesa,ATM,62.0,Retired,52.00000000000001,1.0,1363.65,59.0,613.0,16.0,3.0,2.9999999999999996,1,1,0
16.4325,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.99,294.0,378.0,17.0,0.0,10.0,1,1,1
215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.280000000001,2.0,670.0,16.0,2.0,1.0,0,0,0
877.0039999999999,Debit,Washington,Branch,79.0,Retired,165.0,1.0,5674.32,189.0,483.0,17.0,0.0,7.0,1,2,1
226.37,nan,Louisville,Branch,49.0,Doctor,141.0,1.0,9840.04,259.0,413.00000000000006,17.0,0.0,9.0,1,0,0
444.89,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,252.00000000000003,420.0,16.0,0.0,9.0,0,0,0
280.57,Credit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.24,25.0,647.0,17.0,4.0,1.0,2,1,1
488.54,Debit,Jacksonville,Branch,52.0,Engineer,132.0,1.0,7486.63,182.0,490.0,17.0,0.0,7.0,1,0,0
16.4325,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,84.0,588.0,16.0,0.0,2.9999999999999996,1,0,0
199.39,nan,Colorado Springs,Branch,69.0,Retired,165.0,1.0,7264.79,231.0,441.0,16.0,0.0,8.0,1,0,2
20.36,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,203.0,469.0,17.0,0.0,7.0,1,2,1
113.64,Debit,Detroit,Online,45.0,Retired,32.0,1.0,6675.03,295.0,377.0,17.0,1.0,10.0,0,2,2
493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,210.0,462.0,16.0,0.0,7.0,1,0,2
307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0,161.0,511.0,17.0,0.0,5.999999999999999,2,1,0
16.4325,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,332.0,340.0,16.0,3.0,11.0,0,2,2
313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,317.0,355.0,18.0,2.0,11.0,1,0,1
